"CMB_COMNO","CMB_MBRNO"
"S05","S0088"
"S05","S0086"
"S05","S0100"
"S05","S0098"
"S05","S0106"
"S05","S0111"
"S07","S0098"
"S07","S0082"
"S07","S0112"
"S07","S0101"
"S07","S0099"
"S07","S0115"
"S07","S0129"
"S07","S0126"
"S07","S0130"
"S07","S0120"
"S07","S0119"
"S07","S0124"
"S07","S0133"
"S07","S0132"
"S07","S0106"
"S08","S0113"
"S08","S0062"
"S08","S0116"
"S08","S0134"
"S08","S0112"
"S08","S0096"
"S08","S0117"
"S08","S0120"
"S08","S0125"
"S08","S0119"
"S08","S0127"
"S08","S0131"
"S08","S0133"
"S08","S0132"
"S09","S0086"
"S09","S0069"
"S09","S0088"
"S09","S0100"
"S09","S0096"
"S09","S0105"
"S09","S0122"
"S09","S0126"
"S09","S0134"
"S09","S0116"
"S09","S0129"
"S09","S0130"
"S09","S0117"
"S09","S0121"
"S09","S0127"
"S10","S0118"
"S10","S0129"
"S10","S0067"
"S10","S0019"
"S10","S0062"
"S10","S0080"
"S10","S0086"
"S10","S0098"
"S10","S0100"
"S10","S0113"
"S10","S0114"
"S10","S0069"
"S10","S0078"
"S10","S0111"
"S11","S0114"
"S11","S0080"
"S11","S0096"
"S11","S0101"
"S11","S0106"
"S11","S0112"
"S11","S0134"
"S11","S0099"
"S11","S0115"
"S11","S0126"
"S11","S0119"
"S11","S0124"
"S11","S0131"
"S11","S0133"
"S11","S0132"
"S12","S0067"
"S12","S0088"
"S12","S0098"
"S12","S0111"
"S12","S0113"
"S12","S0122"
"S12","S0116"
"S12","S0115"
"S12","S0129"
"S12","S0126"
"S12","S0117"
"S12","S0121"
"S12","S0118"
"S12","S0130"
"S13","S0099"
"S13","S0100"
"S13","S0068"
"S13","S0069"
"S13","S0062"
"S13","S0078"
"S13","S0082"
"S13","S0106"
"S13","S0105"
"S13","S0114"
"S13","S0115"
"S13","S0117"
"S13","S0125"
"S13","S0127"
"S13","S0086"
