"HST_BILNO", "HST_REFID", "HST_URL"
"HB1","HB1F122","https://lis.blob.core.windows.net/files/1091483.PDF"
"HB1","HB1F122","https://lis.blob.core.windows.net/files/1095197.PDF"
"HB2","HB2H1F171","https://lis.blob.core.windows.net/files/1138638.PDF"
"HB3","HB3F122","https://lis.blob.core.windows.net/files/1093689.PDF"
"HB5","HB5F122","https://lis.blob.core.windows.net/files/1097563.PDF"
"HB5","HB5EF122","https://lis.blob.core.windows.net/files/1156845.PDF"
"HB5","HB5EF122","https://lis.blob.core.windows.net/files/1156846.PDF"
"HB6","HB6F122","https://lis.blob.core.windows.net/files/1092452.PDF"
"HB6","HB6S1F122","https://lis.blob.core.windows.net/files/1171758.PDF"
"HB7","HB7F122","https://lis.blob.core.windows.net/files/1090089.PDF"
"HB8","HB8F160","https://lis.blob.core.windows.net/files/1082122.PDF"
"HB8","HB8F122","https://lis.blob.core.windows.net/files/1084006.PDF"
"HB10","HB10F161","https://lis.blob.core.windows.net/files/1089577.PDF"
"HB10","HB10F161","https://lis.blob.core.windows.net/files/1091286.PDF"
"HB12","HB12F161","https://lis.blob.core.windows.net/files/1089581.PDF"
"HB13","HB13F161","https://lis.blob.core.windows.net/files/1100519.PDF"
"HB14","HB14F122","https://lis.blob.core.windows.net/files/1091407.PDF"
"HB15","HB15F122","https://lis.blob.core.windows.net/files/1091406.PDF"
"HB16","HB16F122","https://lis.blob.core.windows.net/files/1096778.PDF"
"HB16","HB16EF122","https://lis.blob.core.windows.net/files/1149133.PDF"
"HB17","HB17EF122","https://lis.blob.core.windows.net/files/1132793.PDF"
"HB18","HB18F122","https://lis.blob.core.windows.net/files/1095339.PDF"
"HB18","HB18EF122","https://lis.blob.core.windows.net/files/1131425.PDF"
"HB19","HB19F122","https://lis.blob.core.windows.net/files/1096354.PDF"
"HB19","HB19F160","https://lis.blob.core.windows.net/files/1082123.PDF"
"HB20","HB20F122","https://lis.blob.core.windows.net/files/1093946.PDF"
"HB20","HB20EF122","https://lis.blob.core.windows.net/files/1145482.PDF"
